Country,Year,Passenger (in millions),,,,
China,2010,267.691,,,,
China,2011,293.167,,,,
China,2012,319.361,,,,
China,2013,353.966,,,,
China,2014,391.949,,,,
China,2015,436.184,,,,
China,2016,487.960,,,,
China,2017,551.561,,,,
China,2018,611.738,,,,
China,2019,659.934,,,,
China,2020,417.778,,,,
China,2021,440.560,,,,
US,2010,787.5,,,,
US,2011,802.1,,,,
US,2012,813.1,,,,
US,2013,825.3,,,,
US,2014,851.8,,,,
US,2015,896.6,,,,
US,2016,932.0,,,,
US,2017,965.4,,,,
US,2018,"1,013.6",,,,
US,2019,"1,052.8",,,,
US,2020,369,,,,
US,2021,673.7,,,,
